,id,nombre,url_link,url_site,DA,DF,DR,PA,UR,trust_flow,is_mine,is_offer,max_links,peffer_pvp,ppvp,visits_month,sponsored_mark,language,blog_topics,country,link_type,medioTematico,medioTipo,model
128,2136,Mujer hoy,https://www.mujerhoy.com/,https://panel.teblogueo.com/medios,81.0,52.0,,50.0,,42.0,False,False,1.0,5543.46,5543.46,3400000.0,False,,,,,,,blogs.blog
129,2146,El Desmarque,https://eldesmarque.com,https://panel.teblogueo.com/medios,74.0,50.0,,50.0,,29.0,False,False,3.0,486.16,486.16,5400000.0,False,,,,,,,blogs.blog
130,2210,Estrella Digital,https://www.estrelladigital.es/,https://panel.teblogueo.com/medios,66.0,45.0,,50.0,,56.0,False,False,1.0,94.76,135.96,229000.0,False,,,,,,,blogs.blog
131,2421,Nueva Tribuna,https://www.nuevatribuna.es/,https://panel.teblogueo.com/medios,74.0,56.0,,50.0,,24.0,False,False,2.0,434.66,434.66,361000.0,False,,,,,,,blogs.blog
132,2579,El Correo Gallego,https://www.elcorreogallego.es,https://panel.teblogueo.com/medios,78.0,48.0,,50.0,,54.0,False,False,2.0,640.66,640.66,908000.0,False,,,,,,,blogs.blog
133,2843,Moda Ellas,https://www.modaellas.com,https://panel.teblogueo.com/medios,58.0,27.0,,50.0,,23.0,False,False,1.0,434.66,434.66,106900.0,False,,,,,,,blogs.blog
134,3161,Burbuja info,https://www.burbuja.info/blog/,https://panel.teblogueo.com/medios,56.0,37.0,,50.0,,33.0,False,False,1.0,105.06,125.66,1700000.0,False,,,,,,,blogs.blog
135,3232,Androidsis,https://www.androidsis.com/,https://panel.teblogueo.com/medios,71.0,49.0,,50.0,,40.0,False,False,1.0,784.86,795.16,488100.0,False,,,,,,,blogs.blog
136,3299,Cultura Inquieta,https://www.culturainquieta.com/,https://panel.teblogueo.com/medios,72.0,41.0,,50.0,,21.0,False,False,1.0,1052.66,1052.66,1000000.0,False,,,,,,,blogs.blog
137,4392,Relvado,https://relvado.aeiou.pt/,https://panel.teblogueo.com/medios,74.0,0.0,,50.0,,0.0,False,False,2.0,249.26,249.26,5140.0,False,,,,,,,blogs.blog
